Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/ Murder and nonnegligent manslaughter
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Henrico County Police Dept,VA,,,,,,,,,,,,,,          20,          13,          10,,,,,,,,,          13,          12,          10,          14, 
Loudoun County Sheriff Office,VA,           4,           0,           1,           1,           0,           1,           3,           1,           1,           4,           5,           1,,,           0,           0,           5,           1,           0,           1,           5,           2,           0,           3,           2,           0,           1,           1, 
Newport News Police Dept,VA,          14,          15,          16,          14,          17,          26,          18,          33,          22,          22,          28,          27,          17,          17,          16,          20,          30,          20,          27,          18,          19,          19,          28,          16,          23,          23,          15,          20, 
Norfolk Police Dept,VA,          38,          46,          50,          48,          55,          63,          86,          79,          62,          61,          53,          61,          55,          32,,          44,          31,          41,          40,          35,          59,          28,          51,          29,          42,          34,          29,          34, 
Prince William County Police Department,VA,,,,,,,,,,,,,,,,,,,,,,,,,          10,           9,           3,           2, 
Richmond (City) Bureau Of Police,VA,          92,          82,          78,          99,          98,         113,         116,         117,         112,         160,         120,         112,         139,          94,          72,          73,          71,          84,          92,          93,          84,          75,          54,          30,          39,          42,          36,          42, 
Spotsylvania County Sheriff Office,VA,           2,           0,           0,           0,           1,           2,           2,           4,           3,           1,           3,           2,           5,           1,           1,           1,           0,           3,           3,           5,           1,           4,           5,           1,           4,           7,           3,           2, 
Stafford County Sheriff Office,VA,           1,           1,           3,           1,           2,           0,           2,           2,           2,           1,           0,           4,           2,           1,           1,           3,           2,           1,           6,           5,           2,           4,           4,           2,           8,           2,           2,           2, 
Virginia Beach Police Dept,VA,          17,          25,          11,          27,          17,          16,          27,          23,          22,          33,          16,          20,          19,          14,          12,          11,          12,           3,          24,          15,          19,          19,          16,          14,          19,          14,          15,          21, 
Bellevue Police Dept,WA,           4,           0,           1,           1,           1,           3,           2,           1,           2,           5,           0,           3,           9,           1,           0,           0,           0,           0,           0,           0,           2,           3,           0,           0,           2,           0,           1,           2, 
Clark County Sheriff Department,WA,           5,           4,           3,           3,          12,           9,           1,           5,           7,           8,           3,           3,          10,           6,           2,           1,           1,           2,           2,           2,           4,           1,           2,           2,           1,           0,           2,           2, 
Everett Police Dept,WA,           2,           3,           1,           2,           8,           5,           2,           1,           4,           7,,,           3,           3,           5,           4,           5,           3,           2,           3,           3,           3,           7,           1,           2,           5,           5,           1, 
Kent Police Dept,WA,           1,           3,           0,           2,           1,           4,           3,           2,           5,           3,           1,           2,           3,           3,           1,           2,           2,           4,          12,           5,           3,           2,           4,           2,           1,           2,           1,           2, 
King County Sheriff Office,WA,          20,          27,          26,          15,          10,          15,          20,          17,          16,          16,          14,          12,           5,           7,          14,           6,          14,          14,          15,          13,           8,          15,          16,           8,           6,           7,           5,           7, 
Kitsap County Sheriff Office,WA,           0,           3,           4,           4,           7,           3,           3,           2,           2,           8,           4,           3,           1,           1,           1,           3,           2,           0,           3,           1,           4,           2,           1,           2,           4,           1,           2,           2, 
Pierce County Sheriff Department,WA,          19,          15,           9,          22,          24,          16,          23,          20,          26,          27,          22,          22,           7,          10,           9,           9,          12,           7,           7,          10,          11,           5,           7,          10,          19,          10,          10,          17, 
Seattle Police Dept,WA,          61,          50,          54,          56,          38,          53,          43,          60,          67,          69,          41,          37,          49,          49,          45,          36,          25,          26,          32,          24,          25,          30,          24,          29,          22,          19,          20,          23, 
Snohomish County Sheriff Office,WA,           6,           4,           4,          11,           6,           7,           4,           8,,           9,           9,          13,          12,           2,           4,,           6,           4,           5,           8,           9,           8,           9,           3,,           4,,, 
Spokane County Sheriff Department,WA,           5,           2,           5,           4,           1,           4,,           9,           4,           5,           3,           5,          11,           4,           9,           4,           3,           0,           3,           2,           2,           6,           1,           4,           2,           3,           3,           4, 
Spokane Police Dept,WA,           9,          10,          16,          10,           9,           8,           7,          12,          13,           7,          23,          15,          11,          14,           6,           8,           7,          20,          13,           8,          13,          10,          12,          13,           7,           6,           4,          13, 
Tacoma Police Dept,WA,          13,          17,          24,          33,          21,          25,          31,          31,          31,          33,          28,          20,          21,          25,           6,          15,          15,          19,          13,          13,          13,          21,          12,          16,           8,          14,          11,          12, 
Thurston County Sheriff Department,WA,           1,           3,           2,           4,           2,           3,           1,           5,           0,           2,           3,           4,           1,           5,           4,           0,           3,           2,           4,           2,           0,           3,           3,           0,           3,           4,           3,           1, 
Vancouver Police Dept,WA,           2,           2,           3,           2,           3,           3,           0,           0,           3,           5,           1,           3,           1,           0,           1,           4,           4,           1,           2,           9,           8,           4,           7,           0,           6,           0,           9,           5, 
Green Bay Police Dept,WI,           1,           4,           3,           2,           2,           3,           2,           1,           2,           4,           4,           3,           6,           3,           6,           1,           3,           1,           3,           6,           5,           2,           2,           2,           1,           2,           2,           1, 
Madison City Police Dept,WI,           4,           3,           6,           6,           7,           3,           2,           3,           2,           4,           5,           1,           3,           5,           4,           3,           6,           3,           8,           2,           2,           4,           8,          10,           4,           2,           8,           3, 
Milwaukee Police Dept,WI,          68,          83,          92,          81,         112,         155,         163,         146,         157,         139,         138,         130,         122,         111,         124,         122,         127,         111,         110,          87,         121,         103,         105,          71,          72,          95,          85,          91, 

"Notes: When data are unavailable, the cells are blank or the year is not presented."

              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions)

              MSA and non-MSA county populations are not available.

          Crime rates are not available for agencies that report data for less than 12 months of a year.

"         Mobile County Sheriff Department Alabama 1998 - The population for the city of Mobile, Alabama, includes 40,228 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 1986 - 1986 aggravated assault and burglary figures are not comparable to prior years."

"         Mobile Police Dept Alabama 1995 - Due to reporting changes or annexations, 1995 figures are not comparable to previous years."

"         Mobile Police Dept Alabama 1998 - The 1998 population for the city of Mobile, Alabama, includes 40,228 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 1999 - The 1999 population for the city of Mobile, Alabama, includes  40,228 inhabitants from the jurisdiction of the Mobile County Sheriff's Department"

"         Mobile Police Dept Alabama 2000 - The population for the city of Mobile, Alabama, includes 40,228 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2001 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2002 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2003 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2004 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2005 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2006 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2007 - The population for the city of Mobile, Alabama, includes 61,856 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2008 - The population for the city of Mobile, Alabama, includes 60,536 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2009 - The population for the city of Mobile, Alabama, includes 55,995 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2010 - The population for the city of Mobile, Alabama, includes 55,995 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.  Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Mobile Police Dept Alabama 2011 - The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2012 - The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.
The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Chandler Police Dept Arizona 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Glendale Police Dept Arizona 1985 - 1985 figures are not comparable with the previous years."

"         Mesa Police Dept Arizona 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Pinal County Sheriff Department Arizona 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Pinal County Sheriff Department Arizona 2012 - The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table."

"         Tucson Police Dept Arizona 2005 - Due to changes in reporting practices, annexations, and/or incomplete data, 2005 larceny-theft figures are not comparable to previous years' data."

"         Tucson Police Dept Arizona 2006 - It was determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2006 larceny-theft offense."

"         Tucson Police Dept Arizona 2007 - It was determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2007 larceny-theft offense."

"         Tucson Police Dept Arizona 2008 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2008 larceny-theft offense."

"         Tucson Police Dept Arizona 2009 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the offense of larceny-theft.  Consequently, this figure is not included in this Tool."

"         Tucson Police Dept Arizona 2010 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2010 larceny-theft offense."

"         Tucson Police Dept Arizona 2011 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2011 larceny-theft offense."

"         Tucson Police Dept Arizona 2012 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting an offense.  Consequently, this figure is not included in this table."

"         Little Rock Police Dept Arkansas 2009 - Because of changes in the state/local agency's reporting practices, 2009 figures are not comparable to previous years' data."

"         Anaheim Police Dept California 1993 - Due to reporting changes, 1993 aggravated assault figure isnot comparable to previous years."

"         Bakersfield Police Dept California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Downey Police Dept California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Fresno County Sheriff Department California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Fresno County Sheriff Department California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Fresno Police Dept California 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Glendale Police Dept California 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Hayward Police Dept California 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Inglewood Police Dept California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Los Angeles Police Dept California 2005 - Because of changes in the agency's reporting practices, 2005 aggravated assault figures are not comparable to previous years' data."

"         Modesto Police Dept California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Moreno Valley California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Oakland Police Dept California 1991 - 1991 aggravated assault figures are not comparable to prior years due to a change in reporting procedures."

"         Orange County Sheriff Department California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Richmond Police Dept California 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 motor vehicle theft figure is not comparable to previous years' data."

"         Sacramento County Sheriff Department California 2000 - Due to changes in reporting practices, 2000 motor vehicle theft figure is not comparable to previous years' data."

"         San Jose Police Dept California 1997 - Due to reporting changes or annexations, 1997 figures are not comparable to previous years' data."

"         Tulare County Sheriff Department California 2001 - Due to the changes in reporting practices, annexations, and/or incomplete data, 2001 motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2005 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2006 - Because of changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Tulare County Sheriff Department California 2007 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2008 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2009 - The Tulare County Highway Patrol collects the motor vehicle thefts for this county."

"         Tulare County Sheriff Department California 2010 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2011 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2012 - The Tulare County Highway Patrol collects the motor vehicle thefts for this county.  These data can be found in Table 11."

"         Vallejo Police Dept California 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Arvada Police Dept Colorado 1998 - Due to reporting changes or annexations, 1998 figures are not comparable to previous years' data."

"         Arvada Police Dept Colorado 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Arvada Police Dept Colorado 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Arvada Police Dept Colorado 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Denver Police Dept Colorado 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Douglas County Sheriff Department Colorado 1999 - Due to changes in reporting practices, 1999 aggravated assault figure is not comparable to previous years' data."

"         Douglas County Sheriff Department Colorado 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         El Paso County Colorado 2012 - The FBI determined that the agency's data were overreported.  Consequently, affected data are not included in this table."

"         Jefferson County Sheriff Department Colorado 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Pueblo Police Dept Colorado 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Thornton Police Dept Colorado 1994 - Due to reporting changes or annexations, 1994 figures are not comparable to previous years."

"         Thornton Police Dept Colorado 2010 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2010 aggravated assault offense."

"         Thornton Police Dept Colorado 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Stamford Police Dept Connecticut 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Dekalb County Public Safety Department Georgia 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Dekalb County Public Safety Department Georgia 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Gwinnett County Police Department Georgia 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Gwinnett County Police Department Georgia 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Savannah Police Dept Georgia 2005 - Savannah-Chatham Metropolitan is a city-county government that includes the Savannah and Chatham County police departments."

"         Maui Police Department Hawaii 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Chicago Police Dept Illinois 2010 - The data collection methodology for the offense of forcible rape used by the Chicago, Illinois, does not comply with national Uniform Crime Reporting Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not included in this Tool."

"         Chicago Police Dept Illinois 2011 - The data collection methodology for the offense of forcible rape used by the Chicago, Illinois, does not comply with national Uniform Crime Reporting Program guidelines."

"         Chicago Police Dept Illinois 2012 - The data collection methodology for the offense of forcible rape used by Chicago, Illinois, and the Minnesota state UCR Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table."

"         Rockford Police Dept Illinois 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Rockford Police Dept Illinois 2007 - Because of changes in the state/local agency's reporting practices, 2007 figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 1990 - Due to reporting changes, 1990 aggravated assault figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Fort Wayne Police Dept Indiana 2006 - Due to an annexation, 2006 population and figures may not be comparable to previous years' data."

"         Fort Wayne Police Dept Indiana 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 1994 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1994 of 771,796"

"         Indianapolis Police Dept Indiana 1996 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1996 of 777,458"

"         Indianapolis Police Dept Indiana 1997 - Indianapolis/Marion County, Indiana, reported as a unified city-county government in 1997; therefore, their Crime Index figures are combined and are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 1998 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1998 of 759,689; therefore, Crime Index figures are combined and are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Marion County Sheriff Department Indiana 1994 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1994 of 771,796"

"         Marion County Sheriff Department Indiana 1995 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1995 of 772,792"

"         Marion County Sheriff Department Indiana 1996 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1996 of 777,458"

"         St. Joseph County Sheriff Department Indiana 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data."

"         Des Moines Police Dept Iowa 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Des Moines Police Dept Iowa 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Des Moines Police Dept Iowa 2009 - Because of changes in the state/local agency's reporting practices, 2009 figures are not comparable to previous years' data."

"         Olathe Police Dept Kansas 2009 - Because of changes in the state/local agency's reporting practices, 2009 figures are not comparable to previous years' data."

"         Topeka Police Dept Kansas 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Topeka Police Dept Kansas 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Topeka Police Dept Kansas 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 aggravated assault figure is not comparable to previous years' data."

"         Topeka Police Dept Kansas 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Wichita Police Dept Kansas 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data"

"         Louisville Metro Kentucky 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Louisville Police Dept Kentucky 2002 - After 2002, crime for Louisville and Jefferson County were combined to form Louisville Metro, a consolidated county-city government."

"         Baton Rouge Police Dept Louisiana 1996 - Due to reporting changes or annexations, 1996 figures are not comparable to previous years' data."

"         Baton Rouge Police Dept Louisiana 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         New Orleans Police Dept Louisiana 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Baltimore City Police Dept Maryland 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Cambridge Police Dept Massachusetts 2007 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Lowell Police Dept Massachusetts 2008 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Springfield Police Dept Massachusetts 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years' data."

"         Springfield Police Dept Massachusetts 1996 - Due to reporting changes, 1996 motor vehicle theft figure is not comparable to previous years' data."

"         Worcester Police Dept Massachusetts 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years' data."

"         Ann Arbor Police Dept Michigan 1991 - Due to reporting changes, 1991 data are not comparable to previous years' data."

"         Ann Arbor Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data"

"         Detroit Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Detroit Police Dept Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Detroit Police Dept Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Flint City Police Dept Michigan 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Flint City Police Dept Michigan 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Flint City Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Flint City Police Dept Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Flint City Police Dept Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Grand Rapids Police Dept Michigan 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Grand Rapids Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Grand Rapids Police Dept Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Lansing City Police Dept Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Macomb County Sheriff Office Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Macomb County Sheriff Office Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Monroe County Sheriff Department Michigan 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Oakland County Sheriff Office Michigan 2011 - Because of changes in the agency's reporting practices, 2011 figures are not comparable to previous years' data."

"         Warren Police Dept Michigan 2003 - The FBI determined that the agency's motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2004 - The FBI determined that the agency's motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2005 - After examining the data and making inquiries, the FBI determined that the agency's motor vehicle offense count was inflated."

"         Warren Police Dept Michigan 2007 - The FBI determined that the agency's 2007 motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2008 - The FBI determined that the agency's 2008 motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2009 - Because of changes in the state/local agency's reporting practices, 2009 figures are not comparable to previous years' data."

"         Independence Police Dept Missouri 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Jefferson County Sheriff Department Missouri 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Jefferson County Sheriff Department Missouri 2001 - Due to the changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Kansas City Police Dept Missouri 2006 - Because of changes in the agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Kansas City Police Dept Missouri 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Springfield Police Dept Missouri 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Billings Police Dept Montana 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Omaha Police Dept Nebraska 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Las Vegas Metropolitan Police Department Nevada 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Reno Police Dept Nevada 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Reno Police Dept Nevada 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Manchester Police Dept New Hampshire 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Albuquerque Police Dept New Mexico 1995 - Due to reporting changes, 1995 aggravated assault figure is not comparable to previous years' data."

"         Albuquerque Police Dept New Mexico 1996 - Due to reporting changes or annexations, 1996 figures are not comparable to previous years' data."

"         Amherst Town Police Dept New York 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years."

"         Amherst Town Police Dept New York 1994 - Due to reporting changes or annexations, 1994 aggravated assault figure is not comparable to previous years."

"         New York City Police Dept New York 2001 - The murder and nonnegligent homicides that occured as a result of the events of September 11, 2001, are not included."

"         Charlotte-Mecklenburg Police Department North Carolina 1994 - The Charlotte, NC, Police Department and Mecklenburg County, NC., Police Department merged into one department in 1994."

"         Durham Police Dept North Carolina 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Fayetteville Police Dept North Carolina 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Union County Sheriff Office North Carolina 2006 - The FBI determined that the agency's 2006 aggravated assault data were underreported."

"         Winston-Salem Police Dept North Carolina 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Akron City Police Dept Ohio 1993 - Due to reporting changes, 1993 aggravated assault figures are not comparable to previous years."

"         Cincinnati Police Dept Ohio 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Cincinnati Police Dept Ohio 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

